Pin ID(14 bits),Lattitude,Longitude,Altitude,position_covarience,Measurement Date,Upload Date(Unix Time),Source,Contributor ID,Classification,Degree
12000034540001,39.541621,-119.817119,0,0,1669957951,1669957951,0,0,pothole,1
12000034540002,39.552115,-119.813614,0,0,1669957951,1669957951,0,0,pothole,1
12000034540003,39.552542,-119.807409,0,0,1669957951,1669957951,0,0,worn road,4
12000034540004,39.537879,-119.814813,0,0,1669957951,1669957951,0,0,pothole,4
12000034540005,39.541321,-119.819948,0,0,1669957951,1669957951,0,0,debirs,8
12000034540006,39.539964,-119.822652,0,0,1669957951,1669957951,0,0,debris,8
12000034540007,39.538185,-119.820099,0,0,1669957951,1669957951,0,0,loose surface,2
12000034540008,39.5509,-119.811794,0,0,1669957951,1669957951,0,0,loose surface,2
12000034540009,39.549486,-119.807891,0,0,1669957951,1669957951,0,0,pothole,6
12000034540010,39.545878,-119.808626,0,0,1669957951,1669957951,0,0,tar snake,3
12000034540011,39.541733,-119.811116,0,0,1669957951,1669957951,0,0,tar snake,3
12000034540012,39.539795,-119.812626,0,0,1669957951,1669957951,0,0,tar snake,6
12000034540013,39.547837,-119.817133,0,0,1669957951,1669957951,0,0,tar snake,5
12000034540014,39.549911,-119.820205,0,0,1669957951,1669957951,0,0,speed bump,7
12000034540015,39.550495,-119.814257,0,0,1669957951,1669957951,0,0,speed bump,9
12000034540016,39.536375,-119.809616,0,0,1669957951,1669957951,0,0,speed bump,7
12000034540017,39.536159,-119.816253,0,0,1669957951,1669957951,0,0,speed divit,7
12000034540018,39.544291,-119.817269,0,0,1669957951,1669957951,0,0,speed divit,6
12000034540019,39.543014,-119.826509,0,0,1669957951,1669957951,0,0,pothole,4
12000034540020,39.543575,-119.809026,0,0,1669957951,1669957951,0,0,crack,6
12000034540021,39.54459178,-119.8225726,0,0,1669957951,1669957951,0,1,speed bump,3
12000034540022,39.55035624,-119.8222766,0,0,1669957951,1669957951,0,1,speed divit,6
12000034540023,39.54963333,-119.8115442,0,0,1669957951,1669957951,0,1,speed divit,5
12000034540024,39.54552402,-119.8078187,0,0,1669957951,1669957951,0,1,pothole,7
12000034540025,39.53798965,-119.8077447,0,0,1669957951,1669957951,0,1,crack,9
12000034540026,39.53279503,-119.8137893,0,0,1669957951,1669957951,0,1,loose surface,7
12000034540027,39.53732369,-119.8220792,0,0,1669957951,1669957951,0,1,loose surface,4
12000034540028,39.54906261,-119.8079174,0,0,1669957951,1669957951,0,1,pothole,4
12000034540029,39.55351412,-119.8192419,0,0,1669957951,1669957951,0,1,tar snake,8
12000034540030,39.54839676,-119.8069552,0,0,1669957951,1669957951,0,1,tar snake,8
12000034540031,39.53665773,-119.8226713,0,0,1669957951,1669957951,0,1,pothole,2
12000034540032,39.53079699,-119.8146035,0,0,1669957951,1669957951,0,1,worn road,3
12000034540033,39.53485009,-119.8249658,0,0,1669957951,1669957951,0,1,speed divit,6
12000034540034,39.54381173,-119.8315039,0,0,1669957951,1669957951,0,1,pothole,1
12000034540035,39.53096825,-119.8188225,0,0,1669957951,1669957951,0,1,crack,5
12000034540036,39.53269988,-119.803205,0,0,1669957951,1669957951,0,1,speed bump,7
12000034540037,39.52666753,-119.8146529,0,0,1669957951,1669957951,0,1,worn road,6
12000034540038,39.53817992,-119.8241763,0,0,1669957951,1669957951,0,1,worn road,1
12000034540039,39.55539737,-119.8103846,0,0,1669957951,1669957951,0,1,worn road,1